Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
11,Brimehold,Krudh,Krudh Territory,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,1530,991.14,1337.92,-9.93,-1.04,2953,66°F,Marrakesh (Morocco),,,,,,,,{t1:sable;charges:[{charge:cossack;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:roman},https://watabou.github.io/village-generator/?pop=1530&name=&seed=9336923410011&width=1600&height=727&tags=highway%2Cno+square%2Cdense
12,Bayaztop,Bayaztop,Bayaztop Canton,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,21487,1454.21,1703.43,-21.5,13.61,82,75°F,Dakar (Senegal),,port,,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:pale;t:azure;line:wavy}];charges:[{charge:anchor;t:argent;p:beh;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Bayaztop&population=21487&size=41&seed=9336923410012&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=1.58
13,Wildholver,Krudh,Krudh Territory,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,7939,1013.99,1317.37,-9.28,-0.32,2759,64°F,Barcelona (Spain),,,,walls,plaza,,,{t1:argent;division:{division:perCross;t:purpure;line:straight};charges:[{charge:crescent;t:sable;p:e;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Wildholver&population=7939&size=28&seed=9336923410013&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
14,Gol,Bra,Bra Parish,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,1984,611.3,843.9,5.7,-13.06,52,81°F,Mogadishu (Somalia),,,,,plaza,,,{t1:azure;charges:[{charge:pike;t:argent;p:e;t2:argent;size:1.5}];shield:gondor},https://watabou.github.io/village-generator/?pop=1984&name=&seed=9336923410014&width=1600&height=727&tags=estuary%2Chighway%2Cdense
15,Qavheesh,Qavheesh,Qavheesh Region,Kutyurt,Republic of Kutyurt,Arago (Arachnid),Nandorism,3265,1336.7,1206,-5.76,9.89,82,81°F,Mogadishu (Somalia),,,,,,,,{t1:ermine-argent-sable;ordinaries:[{ordinary:gyron;t:azure}];charges:[{charge:drakkar;t:azure;p:bh;t2:azure;t3:azure;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Qavheesh&population=3265&size=20&seed=9336923410015&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
16,Arukthumun,Tumush,Tumush Territory,Silean,Thearchy of Silean,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,11005,711.95,615.82,12.92,-9.87,10660,41°F,Harbin (China),,,,,plaza,,,{t1:sable;charges:[{charge:hindStatant;t:argent;p:e;t2:argent;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Arukthumun&population=11005&size=32&seed=9336923410016&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
17,Khunbarag,Tumush,Tumush Territory,Silean,Thearchy of Silean,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,2818,723.95,735.95,9.11,-9.49,30,79°F,Jakarta (Indonesia),,,,,plaza,temple,,{t1:vert;division:{division:perFess;t:argent;line:wavy};charges:[{charge:crossHummetty;t:or;p:k;size:0.7};{charge:raft;t:purpure;p:n;size:0.7}];shield:gondor},https://watabou.github.io/city-generator/?name=Khunbarag&population=2818&size=19&seed=9336923410017&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
18,Deli,Yelteli,Yelteli Colony,Harlythaneth,Kingdom of Harlythaneth,Rohand (Human),Rohand (Human) Beliefs,10890,1796.38,1270.29,-7.79,24.44,13,79°F,Jakarta (Indonesia),,port,,walls,plaza,,,{t1:or;division:{division:perCross;t:gules;line:invecked};charges:[{charge:roundel;t:azure;p:e;divided:counter;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Deli&population=10890&size=32&seed=9336923410018&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.85
19,Baynak,Kaymiryurt,Kaymiryurt Barony,Asiyurt,Asiyurt Horde,Rohand (Human),Rohand (Human) Beliefs,1986,1234.29,1592.47,-17.99,6.65,13,77°F,Miami (USA),,,,,plaza,,,{t1:sable;ordinaries:[{ordinary:orle;t:or}];charges:[{charge:grenade;t:argent;p:ken;t2:argent;size:0.4}];shield:round},https://watabou.github.io/village-generator/?pop=1986&name=&seed=9336923410019&width=1600&height=727&tags=highway%2Cdense
20,Swangview,Krudh,Krudh Territory,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,10149,862.93,1459.82,-13.79,-5.1,2572,66°F,Marrakesh (Morocco),,,,walls,plaza,,,{t1:purpure;division:{division:perBendSinister;t:argent;line:wavy};charges:[{charge:flamberge;t:or;p:e;t2:or;divided:counter;size:1.5}];shield:roman},https://watabou.github.io/city-generator/?name=Swangview&population=10149&size=31&seed=9336923410020&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
21,Erlerdu,Bayaztop,Bayaztop Canton,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,7358,1426.3,1631.2,-19.21,12.73,13,77°F,Miami (USA),,,,,plaza,,,{t1:purpure;charges:[{charge:rabbitSejant;t:argent;p:jlh;t2:argent;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Erlerdu&population=7358&size=28&seed=9336923410021&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
22,Hobringai,Vohzit,Vohzit Canton,Cielb,Republic of Cielb,Kobold (Goblin),Kobold (Goblin) Beliefs,1508,1308.31,876.73,4.66,9,52,81°F,Mogadishu (Somalia),,port,,walls,,,,{t1:chequy-argent-purpure;division:{division:perFess;t:azure;line:straight};charges:[{charge:bell;t:gules;p:k;t2:gules;size:0.7};{charge:boat;t:or;p:n;size:0.7}];shield:moriaOrc},https://watabou.github.io/city-generator/?name=Hobringai&population=1508&size=15&seed=9336923410022&river=1&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=1.33
23,Turk,Yelteli,Yelteli Colony,Harlythaneth,Kingdom of Harlythaneth,Rohand (Human),Rohand (Human) Beliefs,13396,1720.3,1341.3,-10.04,22.03,82,79°F,Jakarta (Indonesia),,,citadel,walls,plaza,,,{t1:sable;ordinaries:[{ordinary:pale;t:argent;line:nebuly}];charges:[{charge:dragonPassant;t:purpure;p:e;t2:purpure;t3:argent;size:0.7;sinister:1}];shield:wedged},https://watabou.github.io/city-generator/?name=Turk&population=13396&size=35&seed=9336923410023&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
24,Ilsyalyalas,Kanfe,Kanfe Territory,Hloiriat,Kingdom of Hloiriat,Quenian (Elfish),Quenian (Elfish) Shamanism,9106,872.77,565.43,14.51,-4.79,5515,57°F,Washington (D.C.),,,,,plaza,,,{t1:gules;charges:[{charge:cock;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Ilsyalyalas&population=9106&size=30&seed=9336923410024&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
25,Drur-Cha,Ghodog,Ghodog Deanery,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,3240,770.18,811.66,6.72,-8.03,3793,66°F,Marrakesh (Morocco),,,,,,,,{t1:gules;charges:[{charge:lymphad;t:or;p:e;t2:or;t3:or;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Drur-Cha&population=3240&size=20&seed=9336923410025&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
26,Az-Brad,Ghiz,Ghiz Parish,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,13574,499.23,1166.06,-4.49,-16.6,118,81°F,Mogadishu (Somalia),,port,,,plaza,temple,,{t1:argent;charges:[{charge:lymphad;t:gules;p:e;t2:azure;t3:gules;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Az-Brad&population=13574&size=35&seed=9336923410026&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&sea=1.85
27,Zizah,Tumush,Tumush Territory,Silean,Thearchy of Silean,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,7573,429.2,756.7,8.46,-18.82,30,79°F,Jakarta (Indonesia),,,,,,temple,,{t1:purpure;division:{division:chevronny;t:or};shield:gondor},https://watabou.github.io/city-generator/?name=Zizah&population=7573&size=28&seed=9336923410027&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
28,Watzakt,Wruil,Wruil Territory,Cielb,Republic of Cielb,Kobold (Goblin),Kobold (Goblin) Beliefs,9051,1222.27,1008.16,0.5,6.27,6352,57°F,Washington (D.C.),,,,walls,plaza,,,{t1:gules;ordinaries:[{ordinary:point;t:or}];charges:[{charge:crossFormee2;t:or;p:bdf;size:0.5}];shield:moriaOrc},https://watabou.github.io/city-generator/?name=Watzakt&population=9051&size=30&seed=9336923410028&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
29,Digrigin,Dhodh,Dhodh Parish,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,1532,568,1012.69,0.36,-14.43,266,79°F,Jakarta (Indonesia),,port,,,,,,{t1:purpure;ordinaries:[{ordinary:pale;t:argent;line:straight}];charges:[{charge:eagle;t:purpure;p:e;t2:purpure;t3:purpure;size:0.7}];shield:gondor},https://watabou.github.io/village-generator/?pop=1532&name=&seed=9336923410029&width=1600&height=727&tags=coast%2Chighway%2Cno+square%2Cdense
30,Kluir,Wruil,Wruil Territory,Cielb,Republic of Cielb,Kobold (Goblin),Kobold (Goblin) Beliefs,7316,1369.1,1036.5,-0.4,10.92,7248,55°F,Milan (Italy),,,,,plaza,,,{t1:or;charges:[{charge:archer;t:sable;p:e;t2:sable;t3:purpure;size:1.5}];shield:moriaOrc},https://watabou.github.io/city-generator/?name=Kluir&population=7316&size=27&seed=9336923410030&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
31,Tulukkhath,Tumush,Tumush Territory,Silean,Thearchy of Silean,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,6489,746.09,535.26,15.46,-8.79,738,75°F,Dakar (Senegal),,port,,,plaza,,,{t1:or;division:{division:perFess;t:gules;line:straight};charges:[{charge:plaice;t:azure;p:e;t2:azure;divided:counter;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Tulukkhath&population=6489&size=26&seed=9336923410031&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.92
32,Turk,Ceri,Ceri Canton,Kutyurt,Republic of Kutyurt,Rohand (Human),Nandorism,7599,1359,1332.4,-9.76,10.6,840,75°F,Dakar (Senegal),,,,walls,plaza,,,{t1:gules;division:{division:perSaltire;t:pally-or-sable};ordinaries:[{ordinary:pale;t:argent;line:straight}];shield:round},https://watabou.github.io/city-generator/?name=Turk&population=7599&size=28&seed=9336923410032&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
33,Luilalad,Sharithes,Sharithes Landgrave,Harlythaneth,Kingdom of Harlythaneth,Lothian (Dark Elfish),Nandorism,5344,1626.15,1292.92,-8.51,19.05,118,79°F,Jakarta (Indonesia),,,,,plaza,,,{t1:purpure;division:{division:perSaltire;t:argent};shield:wedged},https://watabou.github.io/city-generator/?name=Luilalad&population=5344&size=24&seed=9336923410033&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
34,Crystar,Kaymiryurt,Kaymiryurt Barony,Asiyurt,Asiyurt Horde,Dail (Human),Dail (Human)ism,8381,1140.44,1598.71,-18.18,3.68,472,75°F,Dakar (Senegal),,,,,plaza,,,{t1:argent;charges:[{charge:arbalest2;t:azure;p:jln;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Crystar&population=8381&size=29&seed=9336923410034&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
35,Tayvartepe,Gakardi,Gakardi Province,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,3895,1526.35,1443.38,-13.27,15.89,266,77°F,Miami (USA),,,,,,,,{t1:gules;charges:[{charge:scrollClosed;t:or;p:e;t2:argent;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Tayvartepe&population=3895&size=22&seed=9336923410035&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
36,Dekibi,Yaboy,Yaboy Territory,Kutyurt,Republic of Kutyurt,Rohand (Human),Nandorism,1273,1508.7,1369,-10.92,15.34,1447,73°F,Rio de Janeiro (Brazil),,,,,,,,{t1:gules;division:{division:perPile;t:or;line:dentilly};charges:[{charge:garb;t:or;p:e;t2:or;divided:counter;size:0.7}];shield:round},https://watabou.github.io/village-generator/?pop=1273&name=&seed=9336923410036&width=1400&height=636&tags=dead+end%2Cno+square%2Cdense
37,Yelen,Qavheesh,Qavheesh Region,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,1405,1368.83,1471.54,-14.16,10.91,118,77°F,Miami (USA),,,,,,,,{t1:vert;division:{division:perFess;t:argent;line:straight};charges:[{charge:anchor;t:or;p:e;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=1405&name=&seed=9336923410037&width=1400&height=636&tags=dead+end%2Cno+square%2Cdense
38,Gale,Erbeykor,Erbeykor County,Harlythaneth,Kingdom of Harlythaneth,Rohand (Human),Rohand (Human) Beliefs,4029,1861.83,1083.76,-1.89,26.51,52,81°F,Mogadishu (Somalia),,port,,,plaza,,,{t1:gules;division:{division:perFess;t:lozengy-or-sable;line:straight};charges:[{charge:escallop;t:argent;p:k;size:0.7};{charge:crossHummetty;t:azure;p:n;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Gale&population=4029&size=22&seed=9336923410038&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=0.73
39,Szosilirno,Qe,Qe Parish,Pyreaz,Pyreaz Theocracy,Arago (Arachnid),Nandorism,10788,1321.74,1158.77,-4.26,9.42,1312,75°F,Dakar (Senegal),,,,walls,plaza,,,{t1:argent;division:{division:perCross;t:lozengy-or-purpure-smaller;line:straight};charges:[{charge:rake;t:sable;p:jo;size:0.7}];shield:moriaOrc},https://watabou.github.io/city-generator/?name=Szosilirno&population=10788&size=32&seed=9336923410039&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
40,Ridorwin,Ullran,Ullran Clan,Harlythaneth,Kingdom of Harlythaneth,Lothian (Dark Elfish),Nandorism,10238,1702,1181,-4.97,21.45,30,81°F,Mogadishu (Somalia),,,citadel,walls,plaza,,,{t1:or;charges:[{charge:annulet;t:vert;p:kn;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Ridorwin&population=10238&size=31&seed=9336923410040&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
41,Bhoggaz,Morb,Morb Territory,Silean,Thearchy of Silean,Uruk (Orkish),Lulkar Gods,10088,666.44,1056.95,-1.04,-11.31,82,81°F,Mogadishu (Somalia),,,,walls,plaza,temple,,{t1:purpure;charges:[{charge:bell;t:argent;p:e;t2:argent;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Bhoggaz&population=10088&size=31&seed=9336923410041&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
42,Zindushur,Zindushur,Zindushur County,Hloiriat,Kingdom of Hloiriat,Dunirr (Dwarven),Dunirr (Dwarven) Shamanism,13366,748.98,720.99,9.59,-8.7,472,77°F,Miami (USA),,,,,plaza,,,{t1:gules;division:{division:perPale;t:or;line:straight};charges:[{charge:crossPattee;t:argent;p:e;size:1.5}];shield:gondor},https://watabou.github.io/city-generator/?name=Zindushur&population=13366&size=35&seed=9336923410042&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
43,Jamlunana,Jamlunana,Jamlunana Parish,Silean,Thearchy of Silean,Quenian (Elfish),Quenian (Elfish) Shamanism,24326,1155.84,942.29,2.59,4.17,738,75°F,Dakar (Senegal),,port,citadel,walls,plaza,temple,,{t1:bendy-gules-argent;division:{division:chevronny;t:or};ordinaries:[{ordinary:bordure;t:purpure}];shield:gondor},https://watabou.github.io/city-generator/?name=Jamlunana&population=24326&size=43&seed=9336923410043&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.66
44,Madtownfall,Bleakbelia,Bleakbelia Barony,Dironglia,Dironglian Empire,Dail (Human),Dail (Human)ism,19725,1152.56,1649.83,-19.8,4.07,52,77°F,Miami (USA),,,citadel,,plaza,,,{t1:barry-argent-gules;ordinaries:[{ordinary:bendlet;t:azure;line:straight}];shield:roman},https://watabou.github.io/city-generator/?name=Madtownfall&population=19725&size=40&seed=9336923410044&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
45,Yadalok,Qavheesh,Qavheesh Region,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,2484,1336.3,1427.8,-12.78,9.88,397,77°F,Miami (USA),,,,,plaza,,,{t1:argent;charges:[{charge:shears;t:azure;p:jln;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Yadalok&population=2484&size=18&seed=9336923410045&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
46,Bilmazozes,Ceri,Ceri Canton,Kutyurt,Republic of Kutyurt,Rohand (Human),Nandorism,1523,1393.55,1269.12,-7.76,11.69,840,75°F,Dakar (Senegal),,port,,,plaza,,,{t1:argent;division:{division:perChevronReversed;t:purpure;line:wavy};charges:[{charge:angel;t:sable;p:mok;t2:sable;divided:counter;size:0.5}];shield:round},https://watabou.github.io/village-generator/?pop=1523&name=&seed=9336923410046&width=1600&height=727&tags=coast%2Chighway%2Cfarmland%2Cdense
47,Doraghrrhintar,New Jamlunana,New Jamlunana Colony,Silean,Thearchy of Silean,Trow (Dark Elfish),Trow (Dark Elfish) Druids,7261,1288.81,626.71,12.57,8.38,4252,63°F,Lisbon (Portugal),,,,,plaza,temple,,{t1:or;division:{division:perCross;t:sable;line:engrailed};charges:[{charge:key;t:azure;p:jl;divided:counter;size:0.7}];shield:gondor},https://watabou.github.io/city-generator/?name=Doraghrrhintar&population=7261&size=27&seed=9336923410047&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
48,Kariqua,Dolya,Dolya County,Ymnesin,Principality of Ymnesin,Eldar (Elfish),Eldar (Elfish) Shamanism,8907,1556.52,717.97,9.68,16.85,118,79°F,Jakarta (Indonesia),,port,,walls,,,,{t1:argent;division:{division:chevronny;t:ermine-or-sable};charges:[{charge:crossHummetty;t:vert;p:e;size:1.5}];shield:noldor},https://watabou.github.io/city-generator/?name=Kariqua&population=8907&size=30&seed=9336923410048&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.46
49,Ermalokut,Bayaztop,Bayaztop Canton,Kutyurt,Republic of Kutyurt,Rohand (Human),Rohand (Human) Beliefs,6638,1471.18,1681.62,-20.81,14.15,30,75°F,Dakar (Senegal),,,,,plaza,,,{t1:azure;charges:[{charge:oak;t:or;p:e;t2:or;t3:or;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Ermalokut&population=6638&size=26&seed=9336923410049&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
50,Gesinoseasad,Dolya,Dolya County,Ymnesin,Principality of Ymnesin,Eldar (Elfish),Eldar (Elfish) Shamanism,10739,1497.21,789.5,7.42,14.97,52,79°F,Jakarta (Indonesia),,,,walls,plaza,,,{t1:gules;charges:[{charge:bowWithArrow;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:noldor},https://watabou.github.io/city-generator/?name=Gesinoseasad&population=10739&size=32&seed=9336923410050&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
